Summary,Test Type,Epic,Feature,Story,Test Sets,JIRA Keys,Step Action,Step Data,Step Expected
"Navigate through Random Movies from Advance Sale","Automatic","Cinesa Platform","Movies - Content Catalog","Random movie navigation - Advance Sale tab","Movies - Content Catalog","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on nav.header-nav a[href=""/peliculas/""];Wait for #onetrust-banner-sdk to be visible;Click on button.v-tab__button:has-text(""Venta anticipada"")",";;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Element should be visible;Click action completes"
"should display experiences page layout correctly","Automatic","Cinesa Platform","Experiences - Premium Formats","Experiences page display and layout","Experiences - Premium Formats","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on nav.header-nav a[href=""/experiencias/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"should display essential footer navigation elements","Automatic","Cinesa Platform","Footer - Site Navigation","Essential footer elements visibility","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Verify 'quienesSomosLink' element;Verify 'trabajaConNosotrosLink' element;Verify 'cinesaBusinessLink' element;Verify 'transparenciaLink' element;Verify 'eventosLink' element;Verify 'cinesaLuxeLink' element;Verify 'blogDeCinesaLink' element;Verify 'avisoLegalLink' element;Verify 'politicaPrivacidadLink' element;Verify 'politicaCookiesLink' element;Verify 'facebookLink' element;Verify 'instagramLink' element",";;;;;;;;;;;;;","Step completes successfully;Element should be visible;'quienesSomosLink' element is correct;'trabajaConNosotrosLink' element is correct;'cinesaBusinessLink' element is correct;'transparenciaLink' element is correct;'eventosLink' element is correct;'cinesaLuxeLink' element is correct;'blogDeCinesaLink' element is correct;'avisoLegalLink' element is correct;'politicaPrivacidadLink' element is correct;'politicaCookiesLink' element is correct;'facebookLink' element is correct;'instagramLink' element is correct"
"Ciclos page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Ciclos navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/ciclos/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Select seats separating group in different rows - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Seat selection validation rules","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;TC: https://se-ocg.atlassian.net/browse/COMS-5620;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""A pesar de ti"";Selecting showtime ""19:00P. M.Sala 10"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 6, Seat 1];Selecting seat [Row 6, Seat 2];Selecting seat [Row 5, Seat 2];Confirming selected seats",";;;;;;;;;;;;;;","Step completes successfully;Element should be visible;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Selection completes successfully;Selection completes successfully;Selection completes successfully"
"Ciclos page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Ciclos page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/ciclos/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Blog de Cinesa page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Blog de Cinesa page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/blog-cinesa/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Movies page display and layout","Automatic","Cinesa Platform","Movies - Content Catalog","Movies catalog page display and layout","Movies - Content Catalog","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on nav.header-nav a[href=""/peliculas/""];Wait for #onetrust-banner-sdk to be visible;Taking screenshot",";;;;","Step completes successfully;Element should be visible;Click action completes;Element should be visible;Step completes successfully"
"Salas Premium page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Salas Premium navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/salas-premium/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"should display all footer elements comprehensively","Automatic","Cinesa Platform","Footer - Site Navigation","Comprehensive footer elements display","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Verify 'quienesSomosLink' element;Verify 'trabajaConNosotrosLink' element;Verify 'cinesaBusinessLink' element;Verify 'atencionAlClienteLink' element;Verify 'transparenciaLink' element;Verify 'eventosLink' element;Verify 'cinesaLuxeLink' element;Verify 'salasPremiumLink' element;Verify 'infantilYColegiosLink' element;Verify 'ciclosLink' element;Verify 'blogDeCinesaLink' element;Verify 'avisoLegalLink' element;Verify 'condicionesCompraLink' element;Verify 'condicionesUnlimitedLink' element;Verify 'politicaPrivacidadLink' element;Verify 'politicaCookiesLink' element;Verify 'androidAppLink' element;Verify 'appleAppLink' element;Verify 'facebookLink' element;Verify 'twitterLink' element;Verify 'instagramLink' element;Verify 'linkedinLink' element;Verify 'tiktokLink' element;Verify 'youtubeLink' element",";;;;;;;;;;;;;;;;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;'quienesSomosLink' element is correct;'trabajaConNosotrosLink' element is correct;'cinesaBusinessLink' element is correct;'atencionAlClienteLink' element is correct;'transparenciaLink' element is correct;'eventosLink' element is correct;'cinesaLuxeLink' element is correct;'salasPremiumLink' element is correct;'infantilYColegiosLink' element is correct;'ciclosLink' element is correct;'blogDeCinesaLink' element is correct;'avisoLegalLink' element is correct;'condicionesCompraLink' element is correct;'condicionesUnlimitedLink' element is correct;'politicaPrivacidadLink' element is correct;'politicaCookiesLink' element is correct;'androidAppLink' element is correct;'appleAppLink' element is correct;'facebookLink' element is correct;'twitterLink' element is correct;'instagramLink' element is correct;'linkedinLink' element is correct;'tiktokLink' element is correct;'youtubeLink' element is correct"
"Full purchase with La Vanguardia promotional code - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Promotional code application in booking flow","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Bugonia"";Selecting showtime ""22:00P. M.Sala 2"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 0, Seat 0];Confirming selected seats",";;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Selection completes successfully"
"Infantil y Colegios page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Infantil y Colegios page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/infantil/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Android App Download display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Android App Download page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""https://play.google.com/store/apps/details?id=nz.co.vista.android.movie.cinesa""];Taking screenshot",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Step completes successfully"
"No seat selection validation - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Seat selection validation rules","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Los Tigres"";Selecting showtime ""18:50P. M.Sala 1""",";;;;;;;","Step completes successfully;Element should be visible;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully"
"Apple App Download display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Apple App Download page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""https://apps.apple.com/es/app/cinesa-app/id6444631578?l=ca""];Taking screenshot",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Step completes successfully"
"should navigate to blog and validate URL","Automatic","Cinesa Platform","Footer - Site Navigation","Blog navigation from footer","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Navigating to Cinesa blog page and validating URL",";;;","Step completes successfully;Element should be visible;Click action completes;Navigation completes successfully"
"Eventos page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","OCG-3287 - Eventos page display and layout","Footer - Site Navigation","OCG-3287","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/eventos/""];Taking screenshot",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Step completes successfully"
"Attempt to select sofa seats leaving empty space between selection - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","D-BOX sofa seat selection and validation","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Predator: Badlands"";Accepting the D-BOX warning modal if present;Waiting for seat picker container;Selecting seat [Row 2, Seat 2];Selecting seat [Row 2, Seat 4]",";;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Step completes successfully;Page loads successfully;Selection completes successfully;Selection completes successfully"
"should navigate through each related article and return to the Blog Landing page","Automatic","Cinesa Platform","Blog - Content Platform","OCG-2030 - Related articles navigation flow","Blog - Content Platform","OCG-2030","Wait for #onetrust-banner-sdk to be visible;Navigating to the Blog Landing Page;Navigating through article card at index 0;Navigating through article card at index 1",";;;","Element should be visible;Step completes successfully;Step completes successfully;Step completes successfully"
"Select more than max seat capacity - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Seat selection validation rules","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-5088;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""A pesar de ti"";Selecting showtime ""19:00P. M.Sala 10"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 6, Seat 1];Selecting seat [Row 6, Seat 2];Selecting seat [Row 6, Seat 3];Selecting seat [Row 6, Seat 4];Selecting seat [Row 6, Seat 5];Handling showtime attribute modal if present",";;;;;;;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Selection completes successfully;Selection completes successfully;Selection completes successfully;Selection completes successfully;Step completes successfully"
"Cinesa Business page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Cinesa Business page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on a[href=""http://www.cinesabusiness.es/""];Taking screenshot",";;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully"
"should validate coupons opens new tab correctly","Automatic","Cinesa Platform","Coupons - Discount System","Coupons new tab URL validation","Coupons - Discount System","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on nav.header-nav a[target=""_blank""][href*=""cinesabusiness.es/promociones""];Navigate to https://www.cinesabusiness.es/promociones.html",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Step completes successfully"
"Select only wheelchair seat - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Wheelchair and companion seat selection","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-5638;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Bugonia"";Selecting showtime ""18:30P. M.Sala 6"";Waiting for seats to be ready;Waiting for seat picker container;Handling the wheelchair modal;Confirming selected seats",";;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Step completes successfully;Selection completes successfully"
"should display cinemas page layout correctly","Automatic","Cinesa Platform","Cinemas - Location Finder","Cinemas page display and layout","Cinemas - Location Finder","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling)",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Select one sofa seat correctly - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","D-BOX sofa seat selection and validation","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Predator: Badlands"";Accepting the D-BOX warning modal if present;Waiting for seat picker container;Selecting seat [Row 2, Seat 2];Confirming selected seats",";;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Step completes successfully;Page loads successfully;Selection completes successfully;Selection completes successfully"
"Select only wheelchair seat - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Wheelchair and companion seat selection","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-5638;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Predator: Badlands"";Selecting showtime ""22:15P. M.Sala 3"";Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully"
"Grancasa Movie Schema validation test","Automatic","Cinesa Platform","Movies - Content Catalog","Movie Schema validation - Grancasa","Movies - Content Catalog","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema",";;;","Step completes successfully;Element should be visible;Click action completes;Selection completes successfully"
"Buy multiple tickets with Classic menu - Oasiz","Automatic","Cinesa Platform","Bar & Food Services","Compra con Menú Clásico - múltiples entradas","Bar & Food Services","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""A pesar de ti"";Selecting showtime ""19:00P. M.Sala 10"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully"
"should redirect to experiences page correctly","Automatic","Cinesa Platform","Experiences - Premium Formats","Experiences page URL redirection validation","Experiences - Premium Formats","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on nav.header-nav a[href=""/experiencias/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Salas Premium page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Salas Premium page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on a[href=""/salas-premium/""];Taking screenshot",";;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully"
"Select sofa seats separating group in different rows - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","D-BOX sofa seat selection and validation","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page",";;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully"
"UNLIMITED CARD Conditions page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","UNLIMITED CARD Conditions page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on a[href=""/documentos-legales/condiciones-unlimited/""];Taking screenshot",";;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully"
"Validate analytics events capture - Grancasa with Classic menu","Automatic","Cinesa Platform","Analytics - Tracking","COMS-13733 / COMS-13727 - GA4 DataLayer validation - Grancasa - Classic","Analytics - Tracking","COMS-13733, COMS-13727","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Initializing dataLayer capture;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Bugonia"";Selecting showtime ""22:00P. M.Sala 2"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully"
"Select only companion seat - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Wheelchair and companion seat selection","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Bugonia"";Selecting showtime ""19:15P. M.Sala 2"";Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully"
"Full purchase with multiple seats - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Complete purchase from seat selection","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Los Tigres"";Selecting showtime ""22:30P. M.Sala 7"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 0, Seat 0];Selecting seat [Row 0, Seat 0];Handling showtime attribute modal if present",";;;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Selection completes successfully;Step completes successfully"
"Oasiz Cinema Schema validation test","Automatic","Cinesa Platform","Cinemas - Location Finder","OCG-2550 - Cinema Schema validation - Oasiz","Cinemas - Location Finder","OCG-2550","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Extracting cinema schema from page",";;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Selection completes successfully;Step completes successfully"
"Purchase Conditions page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Purchase Conditions navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on a[href=""/documentos-legales/condiciones-compra/""];Validating Purchase Conditions page URL",";;;","Step completes successfully;Element should be visible;Click action completes;Navigation completes successfully"
"Navigate through Random Movies from Coming Soon","Automatic","Cinesa Platform","Movies - Content Catalog","Random movie navigation - Coming Soon tab","Movies - Content Catalog","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on nav.header-nav a[href=""/peliculas/""];Wait for #onetrust-banner-sdk to be visible",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Element should be visible"
"Customer Service page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Customer Service navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""http://ayuda.cinesa.es/""];Validating Customer Service page URL",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Navigation completes successfully"
"should navigate to company pages","Automatic","Cinesa Platform","Footer - Site Navigation","Company pages navigation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Test ""Quiénes somos"" navigation capability;Test ""Transparencia"" navigation capability;Test external ""Trabaja con nosotros"" link;Test external ""Cinesa Business"" link",";;;;;;","Step completes successfully;Element should be visible;Click action completes;Navigation completes successfully;Navigation completes successfully;Step completes successfully;Step completes successfully"
"Cinesa Luxe page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Cinesa Luxe navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/experiencias/luxe/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"should display the expected number of article cards","Automatic","Cinesa Platform","Blog - Content Platform","OCG-2009 - Article cards count validation","Blog - Content Platform","OCG-2009","Wait for #onetrust-banner-sdk to be visible;Navigating to the Blog Landing Page;Verifying the number of article cards",";;","Element should be visible;Step completes successfully;ing the number of article cards is correct"
"should redirect to cinemas page correctly","Automatic","Cinesa Platform","Cinemas - Location Finder","Cinemas page URL redirection validation","Cinemas - Location Finder","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling)",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"should display legal documentation links","Automatic","Cinesa Platform","Footer - Site Navigation","Legal documentation links","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Verify Aviso Legal link visibility and href;Verify Condiciones de Compra link visibility and href;Verify Condiciones Unlimited link visibility and href;Verify Política de Privacidad link visibility and href;Verify Política de Cookies link visibility and href",";;;;;;;","Step completes successfully;Element should be visible;Click action completes;Aviso Legal link visibility and href is correct;Condiciones de Compra link visibility and href is correct;Condiciones Unlimited link visibility and href is correct;Política de Privacidad link visibility and href is correct;Política de Cookies link visibility and href is correct"
"should display mobile app download links","Automatic","Cinesa Platform","Footer - Site Navigation","Mobile app download links","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Verify Android app download link;Verify Apple app download link",";;;;","Step completes successfully;Element should be visible;Click action completes;Android app download link is correct;Apple app download link is correct"
"Buy multiple tickets with Classic menu - Grancasa","Automatic","Cinesa Platform","Bar & Food Services","Compra con Menú Clásico - múltiples entradas","Bar & Food Services","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Los Tigres"";Selecting showtime ""18:50P. M.Sala 1"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully"
"Select sofa leaving 1 space - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","D-BOX sofa seat selection and validation","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page",";;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully"
"Transparency page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Transparency navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on a[href=""/quienes-somos/transparencia/""];Validating Transparency page URL",";;;","Step completes successfully;Element should be visible;Click action completes;Navigation completes successfully"
"Full purchase with single seat - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Complete purchase from seat selection","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click nav.header-nav a[href=""/cines/""] (with overlay handling)",";;","Step completes successfully;Element should be visible;Click action completes"
